"id","number","name","fate"
"1","300708","聚灿光电","10.45"
"2","688363","华熙生物","89.64"
"3","603030","*ST全筑","3.04"
"4","301215","中汽股份","6.58"
"5","300907","康平科技","21.73"
"6","300437","清水源","15.33"
"7","2959","小熊电器","66.55"
"8","2929","润建股份","39.12"
"9","2019","亿帆医药","13.89"
"10","920","沃顿科技","9.97"
"11","510","新金路","5.81"
"12","158","常山北明","7.1"
"13","870726","鸿智科技","0"
"14","688610","埃科光电","70.34"
"15","688563","航材股份","63.64"
"16","600256","广汇能源","6.83"
"17","301505","苏州规划","38.99"
"18","301056","森赫股份","9.27"
"19","301028","东亚机械","10.69"
"20","300814","中富电路","38.46"
"21","300763","锦浪科技","101.39"
"22","300679","电连技术","36.67"
"23","300547","川环科技","16.61"
"24","300476","胜宏科技","26.8"
"25","300337","银邦股份","6.79"
"26","300259","新天科技","3.93"
"27","300223","北京君正","92.29"
"28","3005","竞业达","28.93"
"29","2911","佛燃能源","13.2"
"30","2849","威星智能","17.92"
"31","2807","江阴银行","3.73"
"32","2648","卫星化学","15.75"
"33","2451","摩恩电气","6.93"
"34","2418","康盛股份","3.21"
"35","2321","华英农业","2.61"
"36","2232","启明信息","16.91"
"37","2171","楚江新材","7.42"
"38","1299","美能能源","16.58"
"39","995","*ST皇台","16.09"
"40","975","银泰黄金","13.6"
"41","727","冠捷科技","2.28"
"42","547","航天发展","9.5"
"43","545","金浦钛业","2.98"
"44","509","华塑控股","3.36"
"45","70","特发信息","8.31"
"46","26","飞亚达","12.22"
"47","688627","精智达","83.48"
"48","605500","森林包装","7.62"
"49","603906","龙蟠科技","16.03"
"50","603090","宏盛股份","21.66"
"51","601686","友发集团","6.91"
"52","600800","渤海化学","3.56"
"53","600425","青松建化","4.46"
"54","301258","富士莱","39.13"
"55","301182","凯旺科技","25.71"
"56","301150","中一科技","46.68"
"57","301123","奕东电子","26.3"
"58","301091","深城交","17.99"
"59","301090","华润材料","11.2"
"60","301049","超越科技","24.8"
"61","300724","捷佳伟创","101.36"
"62","300639","凯普生物","10.45"
"63","300632","光莆股份","12.93"
"64","300609","汇纳科技","27.64"
